"",24
"#NAME?",2
"A. Clara",1
"A. G.",1
"A. J.",1
"A. L.",1
"A. W.",1
"A.",3
"Aanna",2
"Aanton",2
"Aantonie",1
"Addo",1
"Adea",1
"Adelinka",2
"Adelku",2
"Adelu",1
"Adelyne",1
"Adlinka",1
"Adlof",1
"Adloph",1
"Adolfek",1
"Adolfi",1
"Adolp",1
"Afred",1
"Agneska",1
"Ajan",1
"Al",1
"Alabert",1
"Albertna",1
"Albeta",3
"Albi",2
"Albia",1
"Albie",41
"Albine",2
"Albinka",9
"Alby",1
"Aldrich",1
"Aldry",1
"Aleck",1
"Alezander",2
"Alizabeth",1
"Alminka",1
"Aloise",50
"Aloisii",4
"Aloiss",1
"Aloisu",1
"Aloizie",1
"Aloys",1
"Alvinek",2
"Alvn",1
"Alyce",1
"Alzbea",1
"Alzbetha",3
"Alzbetu",20
"Alzbety",4
"Alzebeta",1
"Alzebta",1
"Amalii",2
"Amaliu",1
"Amandu",1
"Amarie",2
"Amaryllis",1
"Amilie",1
"Amma",1
"Anana",1
"Anasatazie",1
"Anasrazie",1
"Anastazii",4
"Anastzie",2
"Anaztazie",4
"Andeline",1
"Andio",1
"Andrias",1
"Andulka",1
"Anettta",1
"Anezee",1
"Anezku",15
"Anezky",1
"Aninika",1
"Aninku",3
"Aninky",2
"Annadikova",1
"Annaina",1
"Annasatazie",1
"Annastazia",3
"Annastazii",3
"Annicka",4
"Anninka",23
"Anninku",1
"Annou",1
"Annu",145
"Annuka",1
"Anonie",2
"Anotonie",1
"Ansastazie",1
"Antastazie",1
"Antionette",1
"Antoinett",1
"Antoinettee",1
"Antona",9
"Antonaa",1
"Antone",1
"Antonet",1
"Antonete",1
"Antoniette",3
"Antonil",1
"Antonine",1
"Antoninette",8
"Antoninu",1
"Antonisn",1
"Anuu",1
"Anynka",2
"Anzeka",2
"Aoot",2
"Apolene",1
"Apolenka",1
"Apolenu",1
"Apolina",1
"Appolonia",1
"Arin",1
"Arinka",1
"Arlean",1
"Arline",1
"Arozalie",1
"Arthura",3
"Arthurek",2
"Arvilla",1
"Aslbina",1
"Asnna",1
"Atanley",1
"Audria",1
"Augistine",1
"Augst",1
"Augustinka",1
"Augusty",1
"Aurrie",1
"Aurvek",1
"B",1
"B. V.",1
"B.",1
"Babara",1
"Bachusovi",1
"Balnche",1
"Banka",1
"Barabra",1
"Barbarina",1
"Barboraa",1
"Barbore",1
"Barboru",56
"Barbory",6
"Barbpra",1
"Barkara",1
"Barnatka",1
"Barney",2
"Barora",1
"Barory",1
"Barth",1
"Bartholomej",2
"Bartolmej",1
"Bartolomeje",2
"Barton",1
"Bartose",1
"Barusky",1
"Basilios",1
"Bbohuslav",1
"Bedreich",1
"Bedrisek",3
"Bejamin",2
"Belle",4
