Char,Web,PlainText
Á,&Aacute;,A
á,&aacute;,a
Ä,&Auml;,A
ä,&auml;,a
?,&#260;,A
?,&#261;,a
?,&#262;,C
?,&#263;,c
?,&#268;,C
?,&#269;,c
?,&#270;,D
?,&#271;,d
É,&Eacute;,E
é,&eacute;,e
?,&#282;,E
?,&#283;,e
?,&#280;,E
?,&#281;,e
Í,&Iacute;,I
í,&iacute;,i
?,&#313;,L
?,&#314;,l
?,&#317;,L
?,&#318;,l
?,&#321;,L
?,&#322;,l
?,&#323;,N
?,&#324;,n
?,&#327;,N
?,&#328;,n
Ó,&Oacute;,O
ó,&oacute;,o
Ô,&Ocirc;,O
ô,&ocirc;,o
Ö,&Ouml;,O
ö,&ouml;,o
Õ,&Otilde;,O
õ,&otilde;,o
?,&#344;,R
?,&#345;,r
?,&#346;,S
?,&#347;,s
Š,&#352;,S
š,&#353;,s
?,&#356;,T
?,&#357;,t
Ú,&Uacute;,U
ú,&uacute;,u
Ü,&Uuml;,U
ü,&uuml;,u
?,&#366;,U
?,&#367;,u
?,&#360;,U
?,&#361;,u
Ý,&Yacute;,Y
ý,&yacute;,y
?,&#377;,Z
?,&#378;,z
Ž,&#381;,Z
ž,&#382;,z
