Rank	Surname	n_i
46988	ABADéIEV	7
46989	ABARI	7
41288	ABBAS	9
41289	ABBRENT	9
37083	ABDUL	11
10374	ABEL	77
28031	¡BEL	18
37084	ABELES	11
50667	ABELOVSK›	6
35410	ABELY	12
32504	ABENDROTH	14
46990	ABERL	7
50668	ABERLA	6
10945	ABERLE	72
21389	ABERT	28
17528	ABESKA	38
20475	ABÕK	30
55176	ABOUD	5
1859	ABRAHAM	411
2266	ABRAH¡M	349
46991	¡BRAH¡M	7
30104	ABRAHAM»ÕK	16
20073	ABRAH¡MEK	31
50669	ABRAM	6
37085	ABRAMCOV	11
55177	ABRAM»UK	5
50670	ABRAMOVI»	6
39031	ABREäEK	10
23574	ABRHAM	24
6617	ABRH¡M	127
37086	ABRLA	11
16143	ABRLE	43
19260	ABRMAN	33
13523	ABRT	55
22409	ABSATZ	26
43938	ABSENGER	8
23575	ABSOLÕN	24
1900	ABSOLON	403
29045	ABäNAJDR	17
19664	ABT	32
55178	ABTRACHIMOV	5
55179	ACKERMAN	5
13723	ACKERMANN	54
29046	¡CS	17
43939	ACSAY	8
39032	A»	10
28032	¡»	18
39033	A»AI	10
245	ADAM	2260
35411	¡D¡M	12
8410	ADAMCZYK	98
35412	ADAM»¡K	12
41290	ADAM»EK	9
33870	ADAM»IAK	13
41291	ADAM»IK	9
1234	ADAM»ÕK	589
55180	ADAM»O	5
23009	ADAME	25
148	ADAMEC	3192
55181	ADAMECKI	5
46992	ADAME»EK	7
46993	ADAME»KO	7
18203	ADAMEK	36
125	AD¡MEK	3577
18525	ADAMETZ	35
32505	ADAMI	14
41292	ADAMICA	9
37087	ADAMICK›	11
21390	ADAMÕ»EK	28
17246	ADAMI»KA	39
35413	ADAMI»KO	12
14781	ADAMIEC	49
19665	ADAMIK	32
1890	ADAMÕK	405
33871	AD¡MIK	13
8575	ADAMÕRA	96
27173	ADAMIä	19
46994	ADAMIäIN	7
31242	ADAMJ¡K	15
21391	ADAMKA	28
32506	ADAMKO	14
20923	ADAMKOVI»	29
50671	ADAMOJURKA	6
35414	ADAMOPULOS	12
17845	ADAMOV	37
55182	ADAMOVIC	5
9441	ADAMOVI»	86
3801	ADAMOVSK›	217
14111	ADAMSK›	52
39034	ADAMU	10
21392	ADAMŸ	28
3073	ADAMUS	266
13524	ADAMUäKA	55
55183	AD¡MY	5
55184	ADAMYK	5
13525	AD¡äEK	55
50672	AD…E	6
31243	ADEL	15
18526	ADELT	35
13906	ADENSAM	53
19666	ADI	32
30105	¡DI	16
55185	ADIGAMOV	5
33872	ADL	13
35415	ADLAF	12
4142	ADLER	201
18527	ADLOF	35
13161	ADLT	57
6675	ADOLF	126
35416	ADOLT	12
50673	ADRI¡N	6
33873	ADY	13
27174	ADZIMA	19
50674	AERTS	6
50675	AFTANAS	6
50676	AGAC	6
55186	AGAI	5
55187	AGAPOV	5
26322	AGEL	20
23576	AGH	24
33874	¡GH	13
55188	AGLER	5
46995	AGNER	7
55189	AGOSZTA	5
46996	AGUILAR	7
50677	AHMED	6
20074	AHNE	31
27175	AHNEL	19
46997	ACHAC	7
33875	ACHA»	13
46998	ACHBERGER	7
50678	ACHCENIT	6
43940	ACHILIS	8
20075	ACHILLES	31
28033	ACHRER	18
41293	ACHS	9
24882	AIBL	22
50679	AIGEL	6
55190	AIGERMAN	5
55191	AIGL	5
